Date,Open,High,Low,Close,Adj Close,Volume,
1/08/1974,12.601563,13.4375,11.765625,12,1.117735,20158400,
1/09/1974,12,12.03125,9.40625,9.9375,0.932135,25644800,
1/10/1974,9.9375,12.3125,9.640625,11.820313,1.108743,30107200,
1/11/1974,11.820313,12.5,10.421875,11.078125,1.039125,21164800,
1/12/1974,10.96875,10.976563,10.007813,10.5,0.992498,20459200,
1/01/1975,10.515625,11.96875,9.828125,11.765625,1.11213,34846400,
1/02/1975,11.765625,13.8125,11.703125,13.46875,1.273115,30401600,
1/03/1975,13.5,14.046875,12.703125,12.914063,1.229914,22632000,
1/04/1975,12.914063,13.585938,12.265625,13.117188,1.249259,25046400,
1/05/1975,13.117188,14.210938,12.875,13.4375,1.279765,23155200,
1/06/1975,13.5625,13.734375,12.6875,13.0625,1.2529,18966400,
1/07/1975,13.0625,13.171875,11.859375,11.890625,1.140498,23774400,
1/08/1975,11.890625,11.921875,11,11.640625,1.11652,17582400,
1/09/1975,11.640625,12.265625,11.101563,11.765625,1.139228,18624000,
1/10/1975,11.765625,13.484375,11.453125,13.265625,1.284469,31411200,
1/11/1975,13.265625,14.15625,13.1875,14.148438,1.369949,20020800,
1/12/1975,14.148438,14.203125,12.984375,14.015625,1.368306,20083200,
1/01/1976,14.015625,16.234375,13.960938,16.109375,1.572712,36676800,
1/02/1976,16.109375,16.53125,15.734375,15.976563,1.559746,24716800,
1/03/1976,15.976563,16.617188,15.890625,16.375,1.609322,24401600,
1/04/1976,16.375,17.078125,15.773438,15.835938,1.556344,28350400,
1/05/1976,15.796875,16.21875,15.328125,16.039063,1.576307,18865600,
1/06/1976,16.03125,17.429688,15.75,17.296875,1.711907,28011200,
1/07/1976,17.296875,17.523438,16.75,17.007813,1.683299,25787200,
1/08/1976,17.007813,17.546875,16.734375,17.101563,1.692576,20012800,
1/09/1976,17.101563,18.03125,17.078125,17.585938,1.754783,24534400,
1/10/1976,17.585938,17.703125,15.8125,16.984375,1.694758,33817600,
1/11/1976,16.984375,17.21875,16.09375,16.9375,1.69008,26073600,
1/12/1976,16.9375,17.625,16.546875,17.445313,1.75549,27566400,
1/01/1977,17.28125,17.53125,16.632813,17.203125,1.73112,32448000,
1/02/1977,17.203125,17.367188,16.625,17.25,1.735837,25752000,
1/03/1977,17.257813,17.882813,17.234375,17.28125,1.754979,37860800,
1/04/1977,17.28125,17.453125,16.03125,16.171875,1.642317,36848000,
1/05/1977,16.171875,16.484375,15.28125,15.34375,1.558218,30588800,
1/06/1977,15.375,16.804688,15.375,16.5,1.69173,32380800,
1/07/1977,16.492188,17.21875,16.125,16.757813,1.718162,27246400,
1/08/1977,16.757813,17,16.492188,16.773438,1.719765,22665600,
1/09/1977,16.773438,16.8125,15.953125,16.3125,1.68815,21864000,
1/10/1977,16.3125,16.40625,15.882813,16.078125,1.663895,26683200,
1/11/1977,16.078125,16.828125,15.5625,16.5,1.707555,36395200,
1/12/1977,16.5,17.203125,16.203125,17.09375,1.786462,32008000,
1/01/1978,16.78125,17.0625,16.5,16.59375,1.734209,39188800,
1/02/1978,16.59375,16.648438,15.640625,15.703125,1.64113,27854400,
1/03/1978,15.703125,15.78125,14.703125,14.71875,1.555267,49926400,
1/04/1978,14.765625,16.625,14.671875,16.625,1.756693,60392000,
1/05/1978,16.625,16.796875,16.125,16.140625,1.705511,38838400,
1/06/1978,16.140625,17.265625,16,16.078125,1.717699,37203200,
1/07/1978,16.078125,17.59375,15.9375,17.5625,1.876281,39387200,
1/08/1978,17.5625,18.796875,17.4375,18.242188,1.948895,50198400,
1/09/1978,18.25,19.03125,17.09375,17.3125,1.867934,32940800,
1/10/1978,17.3125,18.34375,16.46875,16.515625,1.781955,45206400,
1/11/1978,16.578125,17.28125,16,16.84375,1.817358,39755200,
1/12/1978,16.914063,19.375,16.835938,18.65625,2.035098,45998400,
1/01/1979,18.65625,19.765625,18.40625,19.296875,2.104978,47875200,
1/02/1979,19.296875,19.4375,18.570313,18.75,2.045324,27734400,
1/03/1979,18.75,20.046875,18.664063,19.71875,2.175659,33780800,
1/04/1979,19.71875,20.125,19.140625,19.640625,2.167039,34633600,
1/05/1979,19.640625,20.09375,18.890625,19,2.096356,30065600,
1/06/1979,19.09375,19.625,18.03125,18.34375,2.04596,31636000,
1/07/1979,18.34375,19.1875,17,17.4375,1.944883,35155200,
